Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
GKM,17/09/2021 00:00:00,28.80,-5.88,22.03,136.48,-10.00,698500.00,143.69,20116800.00,0.00,Buy,Buy,Buy,0.95,HNX,2350 Xay dung va Vat lieu,2000 Cong nghiep
GMD,17/09/2021 00:00:00,52.60,-0.57,2.73,11.68,-2.95,1842900.00,44.70,96936536.00,4.00,Buy,Buy,Buy,1.47,HSX,2770 Van tai,2000 Cong nghiep
GVR,17/09/2021 00:00:00,38.55,0.39,-1.91,12.39,-5.98,3726500.00,64.18,143656576.00,5.00,Buy,Buy,Buy,1.22,HSX,1350 Hoa chat,1000 Nguyen vat lieu
HCM,17/09/2021 00:00:00,53.70,2.87,-2.53,5.91,-7.56,4207700.00,72.51,225953488.00,4.00,Sell,Buy,Buy,2.46,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
HDB,17/09/2021 00:00:00,25.45,1.39,-1.74,-9.27,-16.09,2214400.00,89.93,56356480.00,6.00,Sell,Sell,Buy,3.06,HSX,8350 Ngan hang,8000 Tai chinh
HDC,17/09/2021 00:00:00,67.00,3.08,1.67,7.03,-1.90,1190300.00,164.36,79750096.00,13.00,Buy,Buy,Buy,3.99,HSX,8630 Bat dong san,8000 Tai chinh
HDG,17/09/2021 00:00:00,56.90,6.95,5.96,-0.70,-5.95,4029200.00,189.65,229261488.00,1.00,Sell,Buy,Buy,7.18,HSX,8630 Bat dong san,8000 Tai chinh
HSG,17/09/2021 00:00:00,47.00,0.00,4.68,25.17,-2.69,15784200.00,118.02,741857408.00,2.00,Buy,Buy,Buy,5.35,HSX,1750 Kim loai,1000 Nguyen vat lieu
HVN,17/09/2021 00:00:00,26.75,4.90,6.79,23.27,-12.72,1237300.00,77.96,33097776.00,0.00,Buy,Buy,Buy,-9.27,HSX,5750 Du lich & Giai tri,5000 Dich vu Tieu dung
IDJ,17/09/2021 00:00:00,28.20,6.02,14.63,57.54,-2.76,2533800.00,144.09,71453160.00,0.00,Buy,Buy,Buy,1.57,HNX,8630 Bat dong san,8000 Tai chinh
KBC,17/09/2021 00:00:00,42.25,-1.05,-1.74,21.06,-5.06,10781800.00,77.99,455531040.00,3.00,Buy,Buy,Buy,1.52,HSX,8630 Bat dong san,8000 Tai chinh
KDC,17/09/2021 00:00:00,59.50,0.00,-0.50,-2.44,-7.41,4336600.00,195.55,258027696.00,22.00,Sell,Sell,Buy,1.03,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
