Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
AAA,7/9/2021 00:00:00,16.10,-3.59,-13.67,0.63,-21.46,7290600.00,49.13,117378664.00,1.00,Sell,Buy,Buy,1.26,HSX,1350 Hoa chat,1000 Nguyen vat lieu
ACB,7/9/2021 00:00:00,35.20,-2.76,-2.49,2.21,-7.25,11315400.00,113.43,398302080.00,0.00,Buy,Buy,Buy,3.99,HSX,8350 Ngan hang,8000 Tai chinh
AGG,7/9/2021 00:00:00,51.20,-0.39,-0.78,2.81,-1.16,1845000.00,75.45,94464000.00,25.00,Buy,Buy,Buy,5.07,HSX,8630 Bat dong san,8000 Tai chinh
AGR,7/9/2021 00:00:00,13.50,-6.90,-14.29,-3.57,-16.67,4849400.00,130.89,65466900.00,0.00,Buy,Buy,Buy,0.57,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
ANV,7/9/2021 00:00:00,28.60,0.18,-11.59,0.88,-17.10,540900.00,51.16,15469740.00,3.00,Buy,Buy,Buy,1.74,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
APG,7/9/2021 00:00:00,10.20,-1.45,-8.93,7.24,-8.93,1283200.00,49.24,13088640.00,1.00,Buy,Buy,Buy,0.95,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
BID,7/9/2021 00:00:00,44.90,-1.97,-4.57,-4.06,-8.37,3587800.00,95.16,161092224.00,3.00,Buy,Buy,Buy,2.08,HSX,8350 Ngan hang,8000 Tai chinh
BMI,7/9/2021 00:00:00,39.30,3.69,7.38,22.81,0.00,1286000.00,208.00,50539800.00,1.00,Buy,Buy,Buy,2.44,HSX,None,None
BVS,7/9/2021 00:00:00,27.50,-9.54,-19.12,-1.43,-19.12,1835900.00,139.43,50487248.00,0.00,Buy,Buy,Buy,1.84,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
BWE,7/9/2021 00:00:00,34.35,1.63,1.63,7.68,-4.45,345600.00,80.42,11871359.00,2.00,Sell,Buy,Buy,3.09,HSX,7570 Nuoc & Khi dot,7000 Tien ich Cong dong
CRE,7/9/2021 00:00:00,43.80,-0.45,-6.41,-2.01,-6.41,899700.00,75.59,39406860.00,3.00,Buy,Buy,Buy,3.91,HSX,8630 Bat dong san,8000 Tai chinh
CTG,7/9/2021 00:00:00,37.60,-2.59,-7.91,-6.68,-10.79,18298100.00,94.84,688008512.00,1.00,Sell,Buy,Buy,4.76,HSX,8350 Ngan hang,8000 Tai chinh
CTS,7/9/2021 00:00:00,21.40,-6.96,-17.37,-4.25,-17.37,2048700.00,98.90,43842180.00,0.00,Buy,Buy,Buy,2.44,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
DBC,7/9/2021 00:00:00,55.30,-0.54,-8.60,-5.13,-13.86,1682400.00,69.45,93036720.00,3.00,Sell,Buy,Buy,13.52,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
DCL,7/9/2021 00:00:00,42.80,1.42,-8.94,-3.82,-19.25,157200.00,40.68,6728160.00,0.00,Sell,Buy,Buy,1.25,HSX,4570 Duoc pham,4000 Duoc pham va Y te
DCM,7/9/2021 00:00:00,17.05,-3.40,-11.43,0.29,-15.22,3294500.00,79.90,56171224.00,1.00,Sell,Buy,Buy,1.38,HSX,1350 Hoa chat,1000 Nguyen vat lieu
DGC,7/9/2021 00:00:00,87.90,5.27,5.65,20.41,0.00,2137600.00,197.44,187895040.00,0.00,Buy,Buy,Buy,6.73,HSX,1350 Hoa chat,1000 Nguyen vat lieu
DGW,7/9/2021 00:00:00,144.90,0.98,9.86,23.95,0.00,525400.00,166.39,76130456.00,1.00,Buy,Buy,Buy,7.30,HSX,5370 Ban le,5000 Dich vu Tieu dung
DHC,7/9/2021 00:00:00,102.60,-3.21,-2.47,-3.48,-4.91,83700.00,47.53,8587620.00,2.00,Sell,Buy,Buy,8.49,HSX,1730 Lam nghiep va Giay,1000 Nguyen vat lieu
DHM,7/9/2021 00:00:00,10.45,-1.42,-0.48,3.47,-2.34,661500.00,165.45,6912675.00,19.00,Buy,Buy,Buy,-1.57,HSX,1770 Khai khoang,1000 Nguyen vat lieu
DIG,7/9/2021 00:00:00,23.50,1.29,-7.84,-12.80,-15.87,3355000.00,65.79,78842496.00,1.00,Sell,Buy,Buy,1.94,HSX,8630 Bat dong san,8000 Tai chinh
DPG,7/9/2021 00:00:00,42.50,-2.30,-6.59,7.19,-9.96,426600.00,78.05,18130500.00,2.00,Buy,Buy,Buy,5.64,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
DPM,7/9/2021 00:00:00,20.40,-1.69,-11.11,6.98,-11.67,1404400.00,50.82,28649760.00,1.00,Buy,Buy,Buy,1.89,HSX,1350 Hoa chat,1000 Nguyen vat lieu
DRC,7/9/2021 00:00:00,27.50,-1.43,-11.86,0.73,-13.11,2267900.00,76.46,62367248.00,2.00,Buy,Buy,Buy,2.38,HSX,3350 O to va phu tung,3000 Hang Tieu dung
DXG,7/9/2021 00:00:00,23.00,0.22,-3.36,-17.27,-20.42,6451500.00,79.99,148384496.00,1.00,Sell,Sell,Buy,0.06,HSX,8630 Bat dong san,8000 Tai chinh
EIB,7/9/2021 00:00:00,28.90,-1.53,-7.81,-11.76,-13.47,583600.00,98.06,16866040.00,1.00,Buy,Buy,Buy,0.71,HSX,8350 Ngan hang,8000 Tai chinh
FIR,7/9/2021 00:00:00,35.00,0.57,0.57,13.64,0.00,194300.00,101.53,6800500.00,11.00,Buy,Buy,Buy,1.22,HSX,8630 Bat dong san,8000 Tai chinh
FIT,7/9/2021 00:00:00,16.65,-2.06,-4.86,16.84,-23.45,9852100.00,92.09,164037456.00,0.00,Buy,Buy,Buy,0.27,HSX,8630 Bat dong san,8000 Tai chinh
FMC,7/9/2021 00:00:00,34.00,-2.30,-8.85,-3.68,-12.82,226100.00,54.73,7687400.00,1.00,Sell,Buy,Buy,3.66,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
FPT,7/9/2021 00:00:00,89.70,-0.11,-2.39,8.46,-3.24,2947000.00,115.75,264345888.00,2.00,Buy,Buy,Buy,4.72,HSX,9530 Phan mem & Dich vu May tinh,9000 Cong nghe Thong tin
GEX,7/9/2021 00:00:00,22.70,-1.30,-0.44,-5.81,-5.81,7391600.00,116.66,167789328.00,2.00,Buy,Buy,Buy,2.03,HSX,3740 Hang hoa giai tri,3000 Hang Tieu dung
GMD,7/9/2021 00:00:00,40.00,-4.42,-10.21,0.00,-10.51,3335500.00,121.71,133420000.00,1.00,Sell,Buy,Buy,1.47,HSX,2770 Van tai,2000 Cong nghiep
GVR,7/9/2021 00:00:00,31.60,-6.92,-12.71,0.64,-13.19,9414700.00,146.38,297504512.00,1.00,Buy,Buy,Buy,1.22,HSX,1350 Hoa chat,1000 Nguyen vat lieu
HAH,7/9/2021 00:00:00,35.90,3.76,7.16,35.22,0.00,1457600.00,89.85,52327844.00,0.00,Buy,Buy,Buy,3.59,HSX,2770 Van tai,2000 Cong nghiep
HAX,7/9/2021 00:00:00,22.20,-4.93,-5.13,-9.39,-20.00,669000.00,116.01,14851801.00,1.00,Sell,Buy,Buy,4.81,HSX,3350 O to va phu tung,3000 Hang Tieu dung
HCM,7/9/2021 00:00:00,48.10,-4.94,-11.74,20.55,-11.74,7301600.00,107.60,351206944.00,1.00,Buy,Buy,Buy,2.46,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
HDB,7/9/2021 00:00:00,35.00,-2.64,-5.91,1.01,-6.42,3486500.00,78.33,122027504.00,3.00,Buy,Buy,Buy,3.06,HSX,8350 Ngan hang,8000 Tai chinh
HDC,7/9/2021 00:00:00,50.50,0.40,-3.26,19.42,-5.08,873000.00,89.56,44086500.00,2.00,Sell,Buy,Buy,3.99,HSX,8630 Bat dong san,8000 Tai chinh
HHS,7/9/2021 00:00:00,6.20,-4.62,-12.18,-10.27,-23.27,2344700.00,67.72,14537140.00,1.00,Sell,Buy,Buy,0.98,HSX,3350 O to va phu tung,3000 Hang Tieu dung
HPG,7/9/2021 00:00:00,47.30,-3.47,-9.56,-10.25,-14.77,46892600.00,160.26,2218019840.00,1.00,Sell,Buy,Buy,5.47,HSX,1750 Kim loai,1000 Nguyen vat lieu
HPX,7/9/2021 00:00:00,33.10,1.85,-2.93,-13.12,-22.03,435900.00,67.71,14428289.00,1.00,Sell,Sell,Buy,1.15,HSX,8630 Bat dong san,8000 Tai chinh
HSG,7/9/2021 00:00:00,35.45,-4.45,-16.39,-14.17,-17.56,15649800.00,134.42,554785408.00,0.00,Sell,Buy,Buy,5.35,HSX,1750 Kim loai,1000 Nguyen vat lieu
HVH,7/9/2021 00:00:00,9.49,-6.96,-11.72,-5.10,-23.76,570800.00,56.97,5416892.00,1.00,Sell,Buy,Buy,0.58,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
IJC,7/9/2021 00:00:00,26.75,-6.79,-18.07,-18.82,-23.46,6007200.00,82.39,160692608.00,0.00,Sell,Buy,Buy,2.51,HSX,8630 Bat dong san,8000 Tai chinh
ITA,7/9/2021 00:00:00,6.11,-6.72,-18.10,-20.75,-32.86,12604000.00,107.89,77010440.00,0.00,Sell,Buy,Buy,0.22,HSX,8630 Bat dong san,8000 Tai chinh
KDC,7/9/2021 00:00:00,61.00,-0.81,-1.29,4.10,-1.61,1686200.00,102.37,102858200.00,9.00,Buy,Buy,Buy,1.03,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
KDH,7/9/2021 00:00:00,36.60,-0.41,-2.66,3.66,-2.92,3217600.00,135.36,117764152.00,3.00,Buy,Buy,Buy,2.07,HSX,8630 Bat dong san,8000 Tai chinh
KOS,7/9/2021 00:00:00,28.80,-0.35,-0.52,2.49,-0.69,235600.00,87.09,6785280.00,19.00,Buy,Buy,Buy,0.17,HSX,8630 Bat dong san,8000 Tai chinh
LAS,7/9/2021 00:00:00,13.30,-3.62,-5.00,11.76,-8.28,893300.00,72.07,11880890.00,3.00,Buy,Buy,Buy,0.25,HNX,1350 Hoa chat,1000 Nguyen vat lieu
LHG,7/9/2021 00:00:00,45.00,-4.26,0.00,12.78,-4.26,282400.00,84.44,12708000.00,1.00,Buy,Buy,Buy,3.38,HSX,8630 Bat dong san,8000 Tai chinh
LPB,7/9/2021 00:00:00,28.90,-3.34,-3.02,-7.96,-14.62,6966600.00,78.45,201334736.00,0.00,Buy,Buy,Buy,2.10,HSX,8350 Ngan hang,8000 Tai chinh
MBB,7/9/2021 00:00:00,41.85,-0.59,-3.68,5.28,-3.68,38065300.00,156.86,1593032704.00,2.00,Buy,Buy,Buy,3.61,HSX,8350 Ngan hang,8000 Tai chinh
MBS,7/9/2021 00:00:00,32.00,-5.60,-10.36,13.48,-10.36,3339200.00,115.24,106854400.00,0.00,Buy,Buy,Buy,2.08,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
MSN,7/9/2021 00:00:00,116.90,-2.42,2.63,12.78,-2.42,2139100.00,138.54,250060800.00,1.00,Buy,Buy,Buy,1.28,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
MWG,7/9/2021 00:00:00,176.50,2.32,12.56,29.68,0.00,1012200.00,116.84,178653296.00,1.00,Buy,Buy,Buy,8.85,HSX,5370 Ban le,5000 Dich vu Tieu dung
NKG,7/9/2021 00:00:00,32.90,-4.36,-10.48,-2.66,-10.60,4829900.00,114.45,158903712.00,0.00,Buy,Buy,Buy,3.14,HSX,1750 Kim loai,1000 Nguyen vat lieu
NLG,7/9/2021 00:00:00,38.00,0.40,-3.55,-1.55,-7.32,1780100.00,76.10,67643800.00,4.00,Sell,Buy,Buy,3.82,HSX,8630 Bat dong san,8000 Tai chinh
NVB,7/9/2021 00:00:00,19.10,-3.05,-7.73,-5.45,-18.03,3751700.00,50.42,71657472.00,1.00,Buy,Buy,Buy,0.03,HNX,8350 Ngan hang,8000 Tai chinh
NVL,7/9/2021 00:00:00,103.50,-6.59,-13.03,1.25,-14.46,4811600.00,142.48,498000608.00,0.00,Buy,Buy,Buy,3.83,HSX,8630 Bat dong san,8000 Tai chinh
PDR,7/9/2021 00:00:00,94.40,-0.32,-1.56,13.33,-1.87,2504200.00,54.21,236396480.00,10.00,Buy,Buy,Buy,3.01,HSX,8630 Bat dong san,8000 Tai chinh
PNJ,7/9/2021 00:00:00,105.50,-0.09,6.03,5.92,-0.94,1061200.00,192.00,111956600.00,2.00,Buy,Buy,Buy,5.16,HSX,3760 Hang ca nhan,3000 Hang Tieu dung
PTB,7/9/2021 00:00:00,87.50,0.00,-1.46,2.97,-1.46,238800.00,154.43,20895000.00,2.00,Buy,Buy,Buy,8.17,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
PVC,7/9/2021 00:00:00,9.40,-3.09,-16.07,-31.39,-31.39,746400.00,55.24,7016159.50,2.00,Sell,Buy,Buy,0.10,HNX,0570 Thiet bi, Dich vu va Phan phoi Dau khi,0001 Dau khi
PVS,7/9/2021 00:00:00,23.40,-5.65,-16.73,-22.00,-23.28,14301000.00,104.48,334643392.00,0.00,Sell,Buy,Buy,1.43,HNX,0570 Thiet bi, Dich vu va Phan phoi Dau khi,0001 Dau khi
PVT,7/9/2021 00:00:00,17.60,-5.12,-15.79,-15.99,-18.52,4620000.00,87.32,81312000.00,0.00,Sell,Buy,Buy,2.17,HSX,2770 Van tai,2000 Cong nghiep
REE,7/9/2021 00:00:00,52.90,-0.19,-6.70,-5.20,-11.83,790100.00,115.59,41796292.00,3.00,Sell,Buy,Buy,5.77,HSX,2750 Cong nghiep nang,2000 Cong nghiep
SCR,7/9/2021 00:00:00,9.40,-6.93,-21.01,-10.05,-22.63,10047100.00,99.36,94442736.00,0.00,Sell,Buy,Buy,0.45,HSX,8630 Bat dong san,8000 Tai chinh
SHB,7/9/2021 00:00:00,26.00,-7.47,-10.34,-13.33,-20.00,21869000.00,85.01,568593984.00,0.00,Buy,Sell,Buy,1.97,HNX,8350 Ngan hang,8000 Tai chinh
SHI,7/9/2021 00:00:00,22.85,-4.43,-1.82,-11.96,-16.22,754400.00,51.51,17238040.00,1.00,Sell,Sell,Buy,0.84,HSX,1750 Kim loai,1000 Nguyen vat lieu
SHS,7/9/2021 00:00:00,42.00,-4.55,-11.21,12.00,-11.21,7740800.00,94.36,325113600.00,1.00,Buy,Buy,Buy,4.72,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
SSI,7/9/2021 00:00:00,52.60,-3.31,-9.15,13.70,-9.15,13645400.00,100.24,717748032.00,2.00,Buy,Buy,Buy,2.57,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
STB,7/9/2021 00:00:00,29.10,-3.64,-7.62,-5.21,-13.91,38413800.00,132.04,1117841536.00,1.00,Buy,Buy,Buy,1.43,HSX,8350 Ngan hang,8000 Tai chinh
TCB,7/9/2021 00:00:00,56.60,0.00,4.24,8.02,-2.41,38234300.00,178.50,2164061440.00,2.00,Buy,Buy,Buy,4.07,HSX,8350 Ngan hang,8000 Tai chinh
TCL,7/9/2021 00:00:00,40.35,-1.34,-2.54,17.13,-3.93,241200.00,73.57,9732420.00,5.00,Buy,Buy,Buy,3.25,HSX,2770 Van tai,2000 Cong nghiep
TCM,7/9/2021 00:00:00,91.20,2.59,0.77,5.07,-12.60,323000.00,94.10,29457600.00,0.00,Buy,Buy,Buy,4.89,HSX,3760 Hang ca nhan,3000 Hang Tieu dung
